EventID,Slot,PlayerName,RoleAtRegistration,Teilgenommen,Punkte,Warnungen
DS-2025-08-28-A,1,Darkschredder,Start,1,890084,
DS-2025-08-28-A,2,Alonzo Mosley,Start,1,822988,
DS-2025-08-28-A,3,Jimmy die Robbe,Start,1,787816,
DS-2025-08-28-A,4,itsH4K1,Start,1,778780,
DS-2025-08-28-A,5,KingKobra2,Start,1,769817,
DS-2025-08-28-A,6,ZANGE,Start,1,727275,
DS-2025-08-28-A,7,Kartoffeleis,Start,1,601898,
DS-2025-08-28-A,8,Madaxx,Start,1,380021,
DS-2025-08-28-A,9,Elevn765,Start,1,269838,
DS-2025-08-28-A,10,Maik1234567890,Start,1,266920,
DS-2025-08-28-A,11,PAvluWKA,Start,1,254311,
DS-2025-08-28-A,12,Maggyispass,Start,1,248630,
DS-2025-08-28-A,13,Aegolas,Start,0,0,
DS-2025-08-28-A,14,BobbydyBob,Start,0,0,
DS-2025-08-28-A,15,Evil activities,Start,0,0,
DS-2025-08-28-A,16,Pickopf,Start,0,0,
DS-2025-08-28-A,17,rompa007,Start,0,0,
DS-2025-08-28-A,18,TheFisch,Start,0,0,
DS-2025-08-28-A,19,Toto 69,Start,0,0,
DS-2025-08-28-A,20,Wene1234,Start,0,0,
DS-2025-08-28-A,1,Nico 90,Ersatz,1,281168,
DS-2025-08-28-A,2,Yoda0201,Ersatz,1,198613,
DS-2025-08-28-A,3,Stiegl 13,Ersatz,1,63496,
DS-2025-08-28-A,4,Baldurbabu,Ersatz,0,0,
DS-2025-08-28-A,5,Der Zerstörer007,Ersatz,0,0,
DS-2025-08-28-A,6,El Patron0711,Ersatz,0,0,
DS-2025-08-28-A,7,Fighter1904,Ersatz,0,0,
DS-2025-08-28-A,8,Minni3011,Ersatz,0,0,
DS-2025-08-28-A,9,Schalmei3,Ersatz,0,0,
DS-2025-08-28-A,10,x Earl x,Ersatz,0,0,
