EventID,Slot,PlayerName,RoleAtRegistration,Teilgenommen,Punkte,Warnungen
DS-2025-11-21-A,1,itsH4K1,Start,1,864288,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,2,Jimmy die Robbe,Start,1,1319468,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,3,Zombie 666 80 420,Start,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,4,Schalmei3,Start,1,796759,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,5,LittelJoe,Start,1,912768,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,6,mahaja,Start,1,837435,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,7,rompa ru,Start,1,1111752,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,8,Damien 44,Start,1,1145591,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,9,KUBI01,Start,1,261419,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,10,BobbydyBob,Start,1,709521,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,11,TheFisch,Start,1,722296,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,12,Alonzo Mosley,Start,1,1408229,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,13,PAvluWKA,Start,1,279776,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,14,Tobinho25,Start,1,351086,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,15,Maggyispass,Start,1,875955,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,16,Re3Slim3,Start,1,250266,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,17,b1e90ff,Start,1,117188,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,18,Michael 3840,Start,1,104212,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,19,Darkface 45,Start,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,20,Jo Ghurt,Start,1,420038,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,1,Colombo123,Ersatz,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
DS-2025-11-21-A,2,Globi3000,Ersatz,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=2)
