EventID,Slot,PlayerName,RoleAtRegistration,Teilgenommen,Punkte,Warnungen
DS-2025-11-21-B,1,Elevn765,Start,1,2371368,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,2,Cupra290,Start,1,2733603,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,3,Maik1234567890,Start,1,3794772,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,4,ZANGE,Start,1,1251097,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,5,Alstermaus,Start,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,6,Fenworld,Start,1,964477,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,7,Stiegl 13,Start,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,8,cindy934,Start,1,186508,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,9,abu47,Start,1,147715,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,10,Kurdun Laneti,Start,1,78926,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,11,Nico 90,Start,1,529781,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,12,BjörnBärchi,Start,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,13,Dany Bossss,Start,1,21020,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,14,Pickopf,Start,1,343888,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,15,Schlumpfsoldat 4714,Start,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,16,Leraxo,Start,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,17,Darkhold,Start,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,18,Wellsyone,Start,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,19,Yoda0201,Start,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
DS-2025-11-21-B,20,DevastatorJMI,Start,0,0,COUNT_MISMATCH_ERSATZ;RESULT_PARTICIPATION_SHORTFALL(delta=9)
