PlayerName,From,To,Reason,InAlliance
Nico 90,2025-11-26,2026-03-31,kann nie voraussagen ob es klappt da alleinerziehender vater,1
Michael 3840,2025-11-26,2025-11-29,abgesagt für dieses mal nächstes mal wieder dabei,1
x Earl x,2025-11-26,2025-11-29,keine antwort,1
Stiegl 13,2025-11-26,2025-11-29,keine antwort,1
abu47,2025-11-26,2025-11-29,antwortet nicht,1
Haui1986,2025-11-26,2026-03-31,ist am haus renovieren,1
ZANGE,2025-11-26,2025-11-29,kann ausnahmsweise nicht,1
ZANGE,2025-11-26,2025-11-26,kann ausnahmsweise nicht,1
Tobinho25,2025-11-26,2025-11-29,ausnahmsweise nicht dabei,1
Evil Activities,2025-11-19,2025-11-22,spätschicht,1
Marikopopo,2025-11-19,2025-11-22,weihnachtsessen,1
x Earl x,2025-11-19,2025-11-22,abgesagt,1
Aegolas,2025-11-17,2025-11-28,spätschicht,1
ilishelbymf,2025-11-18,2026-02-18,muss es noch erklärt bekommen,1
ilishelbymf,2025-11-16,2025-05-16,muss es vorher erklärt bekommen,1
König Hoffi,2025-11-16,2026-05-16,hat nicht gespielt obwohl er im spiel war,1
Cheezusfries,2025-11-13,2026-02-13,low-activity,1
