PlayerName,Group,Role,NoShowOverall,NoShowRolling,AttendProb,risk_penalty
BobbydyBob,A,Start,0.2857142857142857,0.2698971347774378,0.92,0.022232404425667915
Damien 44,A,Start,0.1428571428571429,0.16696322981199074,0.92,0.02741885027511659
Dany Bossss,A,Start,0.33333333333333337,0.32356661521431385,0.49192182123125916,0.030121818004366543
Elevn765,A,Start,0.0714285714285714,0.10124911966128536,0.92,0.018687791561154406
Jimmy die Robbe,A,Start,0.0714285714285714,0.10124911966413808,0.92,0.018687791561154406
KUBI01,A,Start,0.16666666666666663,0.18990798320637636,0.92,0.029239161169545103
LittelJoe,A,Start,0.11111111111111116,0.13784387247589913,0.92,0.024272761741410076
Maggyispass,A,Start,0.3571428571428571,0.33746100674226553,0.92,0.022729664634577013
Mahaja,A,Start,0.16666666666666663,0.170924578875422,0.92,0.022201614078095278
Marikopopo,A,Start,0.09999999999999998,0.1343546917659011,0.92,0.022925133830064316
PAvluWKA,A,Start,0.3076923076923077,0.31362732246178704,0.92,0.02308237070013511
Re3Slim3,A,Start,0.33333333333333337,0.351456468137866,0.92,0.035242373888170385
Schalmei3,A,Start,0.1428571428571429,0.15109987059648888,0.92,0.020262718377919212
TheFisch,A,Start,0.2727272727272727,0.25923517105127225,0.92,0.02433335584927182
Tobinho25,A,Start,0.0,0.0,0.92,0.03174391347195164
ZANGE,A,Start,0.33333333333333337,0.28613961464795035,0.92,0.02396967581274576
Zombie 666 80 420,A,Start,0.19999999999999996,0.24847583055495592,0.92,0.024486470574390164
cindy934,A,Start,0.33333333333333337,0.3270828302472204,0.5288567283401493,0.02656145568725505
itsH4K1,A,Start,0.0714285714285714,0.1012491196642239,0.92,0.018687791561154406
rompa ru,A,Start,0.2142857142857143,0.21342601461011146,0.92,0.02142257003957819
Alstermaus,B,Start,0.33333333333333337,0.3249769166593468,0.92,0.030121818004366543
BjörnBärchi,B,Start,0.5,0.4945591144966407,0.3922612279640303,0.029782411271595418
Cupra290,B,Start,0.0,0.0,0.92,0.02059916009716178
Darkface 46,B,Start,0.75,0.719251019412234,0.92,0.029852825762338265
Fenworld,B,Start,0.16666666666666663,0.1530697754909206,0.92,0.029239161169545103
Maik1234567890,B,Start,0.0714285714285714,0.05301880397606562,0.92,0.018687791561154406
Pickopf,B,Start,0.5384615384615384,0.48739749791943243,0.92,0.02330162897546802
Stiegl 13,B,Start,0.4444444444444444,0.44766297852679693,0.4517937139046382,0.02670139319968934
abu47,B,Start,0.0,0.0,0.92,0.037694275168310094
b1e90ff,B,Start,0.5,0.49462087622553585,0.92,0.03269416421511375
x Earl x,B,Start,0.25,0.18466023649906682,0.49427187107889614,0.03328267796563602
