name,events_seen,shows_total,noshows_total,no_show_raw,no_show_eb,attend_prob,eb_prior_p0,eb_n0,is_low_n,in_roster
abu47,2,2.0,0.0,0.0,0.45874385073747465,0.5035885860929814,0.688115776106212,4.0,True,True
aegolas,11,3.0,8.0,0.7525167261849175,0.7168308736283232,0.26064223287514815,0.688115776106212,4.0,False,False
alstermaus,6,4.0,2.0,0.32497691665869954,0.4752463104424848,0.494639527691027,0.688115776106212,4.0,False,True
amy0815,2,0.0,2.0,1.0,0.792077184070808,0.17724561000825112,0.688115776106212,4.0,True,False
baldurbabu,4,0.0,4.0,1.0,0.844057888053106,0.13175541499097432,0.688115776106212,4.0,False,False
björnbärchi,6,3.0,3.0,0.49455911449666523,0.5752463104424848,0.39494594237877034,0.688115776106212,4.0,False,False
caplap,1,0.0,1.0,1.0,0.7504926208849696,0.21417529295318793,0.688115776106212,4.0,True,False
capsharky,1,0.0,1.0,1.0,0.7504926208849696,0.21417529295318793,0.688115776106212,4.0,True,False
cindy934,9,6.0,3.0,0.32708283024740825,0.4424971618788345,0.5309540461869598,0.688115776106212,4.0,False,True
colombo123,7,2.0,5.0,0.7266240532039032,0.7047693731295316,0.2688950043648115,0.688115776106212,4.0,False,False
commanderpiwi,2,0.0,2.0,1.0,0.792077184070808,0.17724561000825112,0.688115776106212,4.0,True,False
crzdr79,2,0.0,2.0,1.0,0.792077184070808,0.17724561000825112,0.688115776106212,4.0,True,False
cs8888,3,0.0,3.0,1.0,0.821780443489264,0.15115875957237393,0.688115776106212,4.0,False,False
dany bossss,6,4.0,2.0,0.32356661521455,0.4752463104424848,0.494639527691027,0.688115776106212,4.0,False,False
darkface 46,4,1.0,3.0,0.719251019411522,0.719057888053106,0.250978160146868,0.688115776106212,4.0,False,False
darkhold,1,0.0,1.0,1.0,0.7504926208849696,0.21417529295318793,0.688115776106212,4.0,True,False
der mok,1,0.0,1.0,1.0,0.7504926208849696,0.21417529295318793,0.688115776106212,4.0,True,False
derole83,2,0.0,2.0,1.0,0.792077184070808,0.17724561000825112,0.688115776106212,4.0,True,False
devastatorjmi,10,2.0,8.0,0.8081064068821286,0.7680330788874892,0.21017039119773812,0.688115776106212,4.0,False,False
dna16,2,0.0,2.0,1.0,0.792077184070808,0.17724561000825112,0.688115776106212,4.0,True,False
domdom15,5,0.0,5.0,1.0,0.8613847893805386,0.11676105458410885,0.688115776106212,4.0,False,False
doodo12,1,0.0,1.0,1.0,0.7504926208849696,0.21417529295318793,0.688115776106212,4.0,True,False
dragon0407,1,0.0,1.0,1.0,0.7504926208849696,0.21417529295318793,0.688115776106212,4.0,True,False
estintore,1,0.0,1.0,1.0,0.7504926208849696,0.21417529295318793,0.688115776106212,4.0,True,False
evil activities,10,4.0,6.0,0.5434673049646445,0.6251759360303463,0.3498264115444665,0.688115776106212,4.0,False,False
globi3000,7,1.0,6.0,0.8302374345981305,0.7956784640386225,0.1810424863026707,0.688115776106212,4.0,False,False
grizzly che,2,0.0,2.0,1.0,0.792077184070808,0.17724561000825112,0.688115776106212,4.0,True,False
hann1453,2,0.0,2.0,1.0,0.792077184070808,0.17724561000825112,0.688115776106212,4.0,True,False
hejoe,1,0.0,1.0,1.0,0.7504926208849696,0.21417529295318793,0.688115776106212,4.0,True,False
jaymacmacjay,1,0.0,1.0,1.0,0.7504926208849696,0.21417529295318793,0.688115776106212,4.0,True,False
jo ghurt,8,1.0,7.0,0.8509444467621882,0.8127052587020707,0.16565322697724175,0.688115776106212,4.0,False,False
john doe 0815,5,1.0,4.0,0.7778760309503427,0.7502736782694276,0.22235019446863186,0.688115776106212,4.0,False,False
kaiserslautern1900,2,0.0,2.0,1.0,0.792077184070808,0.17724561000825112,0.688115776106212,4.0,True,False
kamikaze82,3,0.0,3.0,1.0,0.821780443489264,0.15115875957237393,0.688115776106212,4.0,False,False
king21king,1,0.0,1.0,1.0,0.7504926208849696,0.21417529295318793,0.688115776106212,4.0,True,False
