PlayerName,Group,Role,NoShowOverall,NoShowRolling,AttendProb,risk_penalty
Alonzo Mosley,A,Start,0.25,0.21113561645768453,0.92,0.023242606311727185
BobbydyBob,A,Start,0.23076923076923073,0.18764712091303526,0.92,0.022268528067341992
Damien 44,A,Start,0.0,0.0,0.92,0.02681641274906037
Elevn765,A,Start,0.0,0.0,0.92,0.017267429331672034
Jimmy die Robbe,A,Start,0.0,0.0,0.92,0.017267429331672034
KUBI01,A,Start,0.0,0.0,0.92,0.029026552965755105
Kurdun Laneti,A,Start,0.0,0.0,0.5099837685578213,0.03762472072969054
LittelJoe,A,Start,0.0,0.0,0.92,0.023206844853326043
Maggyispass,A,Start,0.3076923076923077,0.2628224263762432,0.92,0.02304425489083167
Mahaja,A,Start,0.09090909090909094,0.06616593913495072,0.92,0.021581588602027295
Marikopopo,A,Start,0.0,0.0,0.92,0.02172557926659363
PAvluWKA,A,Start,0.25,0.22944074776573609,0.92,0.023242606311727185
Schalmei3,A,Start,0.07692307692307687,0.05546670609434712,0.92,0.019479490712319258
TheFisch,A,Start,0.19999999999999996,0.14649024043042302,0.92,0.0244046944853942
ZANGE,A,Start,0.33333333333333337,0.28613961464780624,0.556414862449541,0.023938321033275926
Zombie 666 80 420,A,Start,0.11111111111111116,0.13856931115964832,0.92,0.024147387974123607
abu47,A,Start,0.0,0.0,0.5099837685578213,0.03762472072969054
b1e90ff,A,Start,0.33333333333333337,0.3040069608408885,0.92,0.035288973936547556
itsH4K1,A,Start,0.0,0.0,0.92,0.017267429331672034
rompa ru,A,Start,0.15384615384615385,0.12481422538791931,0.92,0.02110351393959236
Alstermaus,B,Start,0.4,0.40116049772786366,0.92,0.03158688153910035
Cupra290,B,Start,0.0,0.0,0.92,0.02172557926659363
Dany Bossss,B,Start,0.4,0.3994195825990917,0.92,0.03158688153910035
Darkface 46,B,Start,1.0,1.0,0.92,0.027379901427843814
Fenworld,B,Start,0.19999999999999996,0.18895356616091463,0.92,0.031137094393485967
Jo Ghurt,B,Start,0.8571428571428572,0.8231189510496862,0.92,0.023424434567204555
Maik1234567890,B,Start,0.07692307692307687,0.05899165735085521,0.92,0.019479490712319258
Pickopf,B,Start,0.5833333333333333,0.5441284934232199,0.92,0.023690134939164924
Re3Slim3,B,Start,0.0,0.0,0.92,0.03762472072969054
Stiegl 13,B,Start,0.4444444444444444,0.4476629785292149,0.4568000221039325,0.026711588336457516
cindy934,B,Start,0.375,0.38113454257433144,0.49610068430955717,0.027703560334198664
x Earl x,B,Start,0.25,0.18466023649803742,0.502458138584553,0.0332482283810809
