PlayerName,Group,Role,NoShowOverall,NoShowRolling,AttendProb,risk_penalty
Alonzo Mosley,A,Start,0.25,0.2111356164575855,0.92,0.02331905778377465
BobbydyBob,A,Start,0.23076923076923073,0.18764712091324165,0.92,0.022350154582817708
Damien 44,A,Start,0.0,0.0,0.92,0.027077730537657493
DevastatorJMI,A,Start,0.7777777777777778,0.7777098742404843,0.92,0.023023878506697692
Elevn765,A,Start,0.0,0.0,0.92,0.017486859405177222
Jimmy die Robbe,A,Start,0.0,0.0,0.92,0.017486859405177222
Jo Ghurt,A,Start,0.8571428571428572,0.8231189510488882,0.92,0.023091240009083722
KUBI01,A,Start,0.0,0.0,0.92,0.029281429040293627
LittelJoe,A,Start,0.0,0.0,0.92,0.023463238888767043
Maggyispass,A,Start,0.3076923076923077,0.26282242637565945,0.92,0.023094409025044046
Mahaja,A,Start,0.09090909090909094,0.06616593913513835,0.92,0.02174733885488123
Marikopopo,A,Start,0.0,0.0,0.92,0.021975629033437395
PAvluWKA,A,Start,0.25,0.22944074776567935,0.92,0.02331905778377465
Re3Slim3,A,Start,0.0,0.0,0.92,0.03771295302868876
Schalmei3,A,Start,0.07692307692307687,0.055466706094056795,0.92,0.019640485525975346
TheFisch,A,Start,0.19999999999999996,0.14649024042962933,0.92,0.024512414182201472
Zombie 666 80 420,A,Start,0.11111111111111116,0.13856931116024185,0.92,0.024312629820675356
b1e90ff,A,Start,0.33333333333333337,0.304006960839583,0.92,0.0352246105622633
itsH4K1,A,Start,0.0,0.0,0.92,0.017486859405177222
rompa ru,A,Start,0.15384615384615385,0.12481422538750675,0.92,0.021220942274928583
Aegolas,B,Start,0.7272727272727273,0.7525167261844544,0.25750428857822166,0.02244879475982893
Alstermaus,B,Start,0.4,0.40116049772897266,0.92,0.03155209468875752
BjörnBärchi,B,Start,0.6,0.6104974549133251,0.92,0.030272971895792745
CRZDR79,B,Start,1.0,1.0,0.92,0.03486419272900688
Colombo123,B,Start,0.7142857142857143,0.7266240532039925,0.26462462334017833,0.02622049030261799
Cupra290,B,Start,0.0,0.0,0.92,0.021975629033437395
Dany Bossss,B,Start,0.4,0.39941958259858423,0.92,0.03155209468875752
Darkface 46,B,Start,1.0,1.0,0.92,0.02664345509681645
Evil Activities,B,Start,0.6666666666666667,0.6342392090076848,0.92,0.024995946334098556
Fenworld,B,Start,0.19999999999999996,0.18895356616057601,0.92,0.031238615510204973
Kurdun Laneti,B,Start,0.0,0.0,0.92,0.03771295302868876
Maik1234567890,B,Start,0.07692307692307687,0.05899165735111067,0.92,0.019640485525975346
Moscha,B,Start,1.0,1.0,0.92,0.03486419272900688
Pickopf,B,Start,0.5833333333333333,0.5441284934230497,0.92,0.023631178386987722
Schlumpfsoldat 4714,B,Start,0.7142857142857143,0.6765074465940466,0.26462462334017833,0.02622049030261799
cindy934,B,Start,0.375,0.3811345425736852,0.92,0.027719705495372157
